strain,life_span,stim_a_1.5,stim_a_3,stim_a_4.5,stim_a_6,stim_a_8,stim_a_9.5,stim_a_11.5,stim_a_13,stim_a_15,stim_a_17,stim_a_19,stim_a_22,stim_a_26.5,stim_a_30,stim_a_33.5,base_a_1.5,base_a_3,base_a_4.5,base_a_6,base_a_8,base_a_9.5,base_a_11.5,base_a_13,base_a_15,base_a_17,base_a_19,base_a_22,base_a_26.5,base_a_30,base_a_33.5
MY16,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MY16,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MY16,15,105,115,0,125,233,83,0,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14,112,7,7,248,71,56,43,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MY16,13,204,86,44,45,292,211,208,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18,173,37,223,329,219,57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CB4856,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CB4856,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CB4856,26.5,62,110,36,286,6,276,120,40,134,224,0,17,NaN,NaN,NaN,107,607,78,381,43,128,201,241,122,20,0,16,NaN,NaN,NaN
CB4856,19,147,42,0,220,19,219,124,86,101,22,NaN,NaN,NaN,NaN,NaN,0,0,0,26,57,121,94,109,0,38,NaN,NaN,NaN,NaN,NaN
CB4856,15,171,267,163,124,158,216,170,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,3,0,36,100,183,35,38,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CB4856,17,7,153,38,203,333,102,0,24,1,NaN,NaN,NaN,NaN,NaN,NaN,64,173,10,95,271,223,200,0,11,NaN,NaN,NaN,NaN,NaN,NaN
CB4856,15,93,185,0,196,109,27,88,244,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,130,135,198,120,196,94,159,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CB4856,15,0,50,75,3,98,224,95,20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,41,115,51,23,349,95,120,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CB4856,15,199,194,90,13,166,228,25,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17,61,76,12,163,191,9,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CB4856,17,107,39,149,46,138,19,196,0,11,NaN,NaN,NaN,NaN,NaN,NaN,62,27,135,56,260,10,231,0,30,NaN,NaN,NaN,NaN,NaN,NaN
CB4856,15,150,7,121,61,195,67,15,38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,32,11,12,85,118,4,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CB4856,26.5,168,56,52,13,5,49,2,18,3,77,0,14,NaN,NaN,NaN,0,35,105,44,48,299,68,29,12,183,0,0,NaN,NaN,NaN
CB4856,22,0,205,18,201,178,179,146,223,0,0,0,NaN,NaN,NaN,NaN,0,53,217,227,275,253,224,169,9,0,38,NaN,NaN,NaN,NaN
CB4856,11.5,156,15,173,73,223,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,194,110,75,298,220,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CB4856,26.5,8,77,4,0,2,25,73,105,58,0,0,0,NaN,NaN,NaN,10,62,10,21,0,38,68,73,7,0,0,58,NaN,NaN,NaN
CB4856,19,122,157,79,121,82,28,37,23,6,7,NaN,NaN,NaN,NaN,NaN,17,13,174,52,167,44,4,21,57,0,NaN,NaN,NaN,NaN,NaN
CB4856,22,45,63,89,58,143,81,342,221,1,0,15,NaN,NaN,NaN,NaN,183,11,34,117,238,207,56,52,112,18,29,NaN,NaN,NaN,NaN
CB4856,17,21,44,30,174,7,0,4,34,8,NaN,NaN,NaN,NaN,NaN,NaN,128,10,176,17,27,0,0,131,14,NaN,NaN,NaN,NaN,NaN,NaN
CB4856,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CB4856,15,98,23,19,108,28,0,63,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17,1,0,30,18,0,0,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MY23,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MY23,22,128,14,141,136,148,158,138,172,54,0,0,NaN,NaN,NaN,NaN,39,39,141,3,244,221,212,88,105,0,114,NaN,NaN,NaN,NaN
MY23,15,65,113,0,166,145,48,93,26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,128,183,48,193,79,36,66,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MY23,26.5,7,252,139,268,278,132,95,133,277,118,18,31,NaN,NaN,NaN,1,175,65,41,278,214,100,36,105,57,15,9,NaN,NaN,NaN
MY23,15,166,174,232,118,118,206,49,178,NaN,NaN,NaN,NaN,NaN,NaN,NaN,135,209,193,214,120,159,236,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MY23,15,197,144,99,152,125,96,42,101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,141,92,220,260,116,6,124,107,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MY23,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MY23,19,16,110,106,67,70,182,196,170,0,115,NaN,NaN,NaN,NaN,NaN,48,280,60,134,165,148,94,120,15,0,NaN,NaN,NaN,NaN,NaN
MY23,15,21,30,70,31,162,101,51,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,28,75,119,65,30,34,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MY23,19,103,97,13,109,146,137,107,147,4,88,NaN,NaN,NaN,NaN,NaN,9,36,42,125,121,93,137,80,0,34,NaN,NaN,NaN,NaN,NaN
MY23,19,92,22,36,189,109,103,83,114,114,191,NaN,NaN,NaN,NaN,NaN,0,166,44,110,109,150,211,35,79,118,NaN,NaN,NaN,NaN,NaN
MY23,19,0,105,21,33,53,219,146,112,4,111,NaN,NaN,NaN,NaN,NaN,19,54,9,45,37,123,18,83,0,27,NaN,NaN,NaN,NaN,NaN
MY23,15,166,101,100,263,224,150,121,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,93,201,98,127,24,9,62,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MY23,13,154,205,77,4,53,65,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,219,206,162,53,85,36,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MY23,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MY23,15,93,112,47,32,166,244,144,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15,248,37,35,106,138,176,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MY23,19,176,229,226,129,192,327,0,170,223,205,NaN,NaN,NaN,NaN,NaN,12,231,89,155,56,268,0,244,0,5,NaN,NaN,NaN,NaN,NaN
MY23,13,85,151,170,67,95,104,164,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,222,146,48,170,230,140,185,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MY23,17,0,131,73,24,2,91,202,76,4,NaN,NaN,NaN,NaN,NaN,NaN,27,24,52,20,0,47,166,77,20,NaN,NaN,NaN,NaN,NaN,NaN
MY23,13,46,43,92,107,84,0,51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,194,0,19,20,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DL238,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DL238,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DL238,19,26,135,131,173,28,224,136,0,0,72,NaN,NaN,NaN,NaN,NaN,0,241,285,254,80,255,247,0,0,121,NaN,NaN,NaN,NaN,NaN
DL238,19,100,106,257,265,52,250,297,200,0,55,NaN,NaN,NaN,NaN,NaN,41,154,268,266,96,294,147,91,0,2,NaN,NaN,NaN,NaN,NaN
DL238,26.5,174,200,261,248,56,156,112,205,68,0,27,2,NaN,NaN,NaN,0,269,227,290,195,95,221,118,30,0,15,20,NaN,NaN,NaN
DL238,15,174,10,195,22,130,228,271,57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,196,19,58,213,173,130,314,26,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DL238,19,0,17,104,147,151,143,30,79,0,0,NaN,NaN,NaN,NaN,NaN,17,77,144,103,153,148,56,79,0,73,NaN,NaN,NaN,NaN,NaN
DL238,15,0,109,14,124,191,177,253,25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,117,91,191,251,186,104,59,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DL238,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DL238,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DL238,26.5,76,0,121,249,219,221,235,93,0,0,0,41,NaN,NaN,NaN,0,182,76,269,317,226,171,81,0,0,0,0,NaN,NaN,NaN
DL238,17,95,27,32,40,186,202,70,228,5,NaN,NaN,NaN,NaN,NaN,NaN,0,100,190,15,232,180,0,104,73,NaN,NaN,NaN,NaN,NaN,NaN
DL238,19,157,149,96,54,169,186,25,194,65,6,NaN,NaN,NaN,NaN,NaN,161,116,70,13,134,150,0,170,8,23,NaN,NaN,NaN,NaN,NaN
DL238,22,202,74,157,307,135,175,239,300,82,137,47,NaN,NaN,NaN,NaN,222,225,181,275,196,277,214,39,36,81,78,NaN,NaN,NaN,NaN
DL238,22,216,225,62,48,191,202,4,296,5,0,35,NaN,NaN,NaN,NaN,17,192,187,247,300,242,26,85,0,13,4,NaN,NaN,NaN,NaN
DL238,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DL238,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DL238,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DL238,19,27,138,147,256,221,221,262,239,147,32,NaN,NaN,NaN,NaN,NaN,0,291,163,297,230,303,264,238,277,16,NaN,NaN,NaN,NaN,NaN
DL238,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JU258,17,157,701,273,244,231,0,35,136,15,NaN,NaN,NaN,NaN,NaN,NaN,121,863,253,241,0,32,0,157,7,NaN,NaN,NaN,NaN,NaN,NaN
JU258,19,130,122,111,24,141,136,32,74,28,0,NaN,NaN,NaN,NaN,NaN,94,807,83,14,184,231,71,193,40,7,NaN,NaN,NaN,NaN,NaN
JU258,17,171,116,161,38,186,184,2,162,15,NaN,NaN,NaN,NaN,NaN,NaN,137,216,94,192,222,267,2,3,9,NaN,NaN,NaN,NaN,NaN,NaN
JU258,19,191,185,291,14,61,24,11,14,0,21,NaN,NaN,NaN,NaN,NaN,0,10,265,9,169,105,16,5,78,0,NaN,NaN,NaN,NaN,NaN
JU258,15,14,3,119,173,230,137,48,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,0,184,79,245,205,106,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN
JU258,19,150,16,20,259,209,120,97,104,20,9,NaN,NaN,NaN,NaN,NaN,131,15,140,292,278,202,169,181,6,5,NaN,NaN,NaN,NaN,NaN
JU258,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JU258,19,151,18,125,155,153,98,0,105,1,9,NaN,NaN,NaN,NaN,NaN,110,9,36,0,172,123,1,35,0,7,NaN,NaN,NaN,NaN,NaN
JU258,19,44,109,3,67,52,56,21,88,149,10,NaN,NaN,NaN,NaN,NaN,4,19,111,64,78,13,178,52,133,0,NaN,NaN,NaN,NaN,NaN
JU258,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JU258,13,64,35,36,22,13,8,14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,156,49,49,7,0,15,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
JU258,13,264,141,8,29,90,148,69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,264,61,125,6,98,320,41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
JU258,15,110,29,30,229,184,197,132,222,NaN,NaN,NaN,NaN,NaN,NaN,NaN,160,41,187,199,71,181,140,155,NaN,NaN,NaN,NaN,NaN,NaN,NaN
JU258,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JU258,22,216,185,197,236,288,70,0,116,236,64,34,NaN,NaN,NaN,NaN,193,188,193,269,86,56,0,0,20,91,100,NaN,NaN,NaN,NaN
JU258,13,58,8,49,2,48,27,147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73,27,206,5,56,14,176,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
JU258,17,32,29,79,170,108,0,33,5,1,NaN,NaN,NaN,NaN,NaN,NaN,35,15,2,120,74,48,0,19,12,NaN,NaN,NaN,NaN,NaN,NaN
JU258,17,153,67,18,93,193,191,58,56,70,NaN,NaN,NaN,NaN,NaN,NaN,22,43,42,10,87,114,78,156,7,NaN,NaN,NaN,NaN,NaN,NaN
JU258,13,182,19,43,81,88,8,63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75,44,11,87,125,9,42,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
JU258,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
